Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
PHI,2014,9,-2.60%,-1.90%,-7.10%,-7.50%,9.60%,9.60%
NE,2014,9,9.10%,9.40%,2.30%,2.50%,7.30%,7.80%
IND,2014,9,9.90%,10.00%,1.90%,1.90%,5.80%,6.00%
PIT,2014,9,20.60%,20.70%,6.80%,6.20%,-0.30%,-0.60%
KC,2014,9,8.40%,10.10%,-0.20%,-1.00%,4.30%,4.20%
NO,2014,9,15.50%,15.90%,9.40%,7.40%,1.90%,1.70%
DET,2014,9,-10.00%,-11.10%,-22.80%,-22.20%,-6.60%,-6.20%
CIN,2014,9,3.60%,2.90%,1.10%,1.90%,3.50%,3.50%
BUF,2014,9,-15.40%,-16.00%,-13.30%,-14.10%,6.10%,5.80%
DAL,2014,9,9.20%,9.70%,4.60%,3.60%,-1.50%,-1.40%
ARI,2014,9,-9.50%,-9.40%,-10.10%,-9.50%,0.60%,1.20%
SD,2014,9,9.50%,10.40%,11.50%,11.80%,-0.20%,-0.50%
ATL,2014,9,9.50%,7.70%,16.20%,16.50%,3.80%,3.70%
CLE,2014,9,-1.90%,-3.40%,4.50%,3.80%,1.80%,2.10%
SF,2014,9,-7.50%,-8.90%,-8.40%,-7.80%,-5.90%,-6.10%
CHI,2014,9,5.70%,4.80%,6.30%,6.10%,-6.20%,-6.40%
WAS,2014,9,-2.00%,-1.90%,3.10%,3.10%,-4.20%,-3.50%
NYG,2014,9,-5.60%,-5.00%,2.50%,1.60%,-1.20%,-1.30%
CAR,2014,9,-5.00%,-5.20%,6.40%,7.10%,-0.40%,-0.20%
HOU,2014,9,-6.20%,-6.00%,0.40%,0.40%,-5.60%,-5.80%
TEN,2014,9,-5.00%,-6.00%,6.70%,8.10%,-1.10%,-0.80%
MIN,2014,9,-19.20%,-19.60%,-1.00%,-0.50%,2.00%,1.90%
NYJ,2014,9,-17.30%,-16.90%,3.10%,3.50%,2.70%,2.60%
OAK,2014,9,-17.80%,-16.90%,6.70%,6.80%,3.20%,3.40%
STL,2014,9,-10.50%,-9.10%,10.10%,9.10%,-1.20%,-1.20%
JAC,2014,9,-21.30%,-21.10%,-2.00%,-1.60%,-3.80%,-3.50%
TB,2014,9,-22.70%,-21.80%,7.70%,7.90%,-5.90%,-6.30%
DEN,2014,10,23.40%,22.20%,-17.70%,-17.80%,-3.80%,-3.90%
BAL,2014,10,8.20%,8.10%,-6.40%,-6.20%,8.40%,9.40%
GB,2014,10,20.60%,20.70%,-0.70%,-1.10%,0.00%,-0.60%
SEA,2014,10,13.10%,11.80%,-9.90%,-10.10%,-2.30%,-2.50%
PHI,2014,10,-1.20%,-0.90%,-10.60%,-10.60%,10.50%,11.40%
MIA,2014,10,4.10%,4.10%,-16.00%,-16.20%,-4.60%,-3.60%
IND,2014,10,11.00%,11.50%,3.60%,2.90%,5.60%,6.00%
NE,2014,10,10.50%,11.10%,4.70%,6.00%,7.10%,7.60%
